feature,ensemble_score,anova,mutual_info,random_forest,extra_trees,variance,cluster_separation
6-SpectralEntropym,0.3649994473942722,0.3628447349905555,0.15244521905197014,0.22840386151644362,0.3071934180664531,1.0,0.5203943482298262
cyclic_fourier_peak2_mean,0.3643810254442361,0.5256383694922621,0.23174879754776434,0.26160423764305596,0.47964602522066613,0.3333333333333333,0.2902058891657333
energy_ratio_low,0.34142402480563866,0.4182388863791923,0.17889979410638943,0.21587188261317328,0.43716565300695637,0.3333333333333333,0.5900178658255123
cyclic_auto_peak2_s,0.33783255084579383,0.3354047680044725,0.35517388739229633,0.16575512602877418,0.6437771070535452,0.3333333333333333,0.19895656769096487
spectral_mod_strength,0.33763976872842855,0.46552116359740203,0.1711947218327655,0.1125680806663146,0.1900697370078707,1.0,0.3599645677808143
kick_prominence,0.33724362646956735,0.40833560144959175,0.16721934724026102,0.17229569324491933,0.3440905082703089,1.0,0.15643141769586996
tempo_features_mean,0.3361894195148056,0.41067715828646423,0.22632353058661053,0.2234084336870121,0.5111276671477436,0.3333333333333333,0.3357125368297013
auto_peak1_bpm,0.32974679215768626,0.23131533336283824,0.7353048090194626,0.13934586075568198,0.31220147274053084,0.3333333333333333,0.16824270617534817
7-SpectralFluxm,0.3195081732467306,0.44730153837917713,0.15703947475487,0.18096865985447794,0.2641211675231823,0.3333333333333333,0.6712965326825605
cyclic_fourier_peak4_s,0.3165579915886659,0.12070279933880174,0.5953093714939826,0.11178010606321209,0.28129966110421817,1.0,0.027694470768938273
cyclic_fourier_entropy,0.3164077356344735,0.4409080808083679,0.14741029306035935,0.2040990864455049,0.201569089051616,0.6666666666666666,0.3897680950679959
76-bpm_histogram_second_peak_weight,0.31416293379626803,0.4823384989032622,0.16854539137132166,0.18537771694453783,0.2932771942313337,0.3333333333333333,0.45468774939247164
72-bpm_histogram_first_peak_bpm,0.3112285483820865,0.13480073247259652,0.8286505931610302,0.20778306337885494,0.22273254928677866,0.3333333333333333,0.034984182296102055
80-onset_rate,0.3019203057722524,0.4016498835503261,0.18997959131767397,0.13305644914412126,0.22998834244651378,0.6666666666666666,0.35735708758668067
fourier_peak1_mean,0.29837830184025155,0.4407384338570465,0.17425770334320023,0.1428958625524152,0.10839115963460172,0.3333333333333333,0.7517097291834324
fourier_peak3_bpm,0.2957607692925448,0.12028002024151611,0.820002885396063,0.1515745693746664,0.22348081777508147,0.3333333333333333,0.04519817278424344
