,140 - Deep Dubstep - Grime,Afro House,Amapiano,Ambient - Experimental,Bass - Club,Bass House,Breaks - Breakbeat - UK Bass,DJ Tools,Dance - Pop,Deep House,Downtempo,Drum & Bass,Dubstep,Electro (Classic - Detroit - Modern),Electronica,Funky House,Hard Dance - Hardcore - Neo Rave,Hard Techno,House,Indie Dance,Jackin House,Mainstage,Melodic House & Techno,Minimal - Deep Tech,Nu Disco - Disco,Organic House,Progressive House,Psy-Trance,Tech House,Techno (Peak Time - Driving),Techno (Raw - Deep - Hypnotic),Trance (Main Floor),Trance (Raw - Deep - Hypnotic),Trap - Future Bass,UK Garage - Bassline
Funky House,0.0,0.0,0.0,0.0,0.0,0.46723422845912266,0.26339310671387306,0.0,0.30994815659808017,0.4990987932636125,0.0,0.15622945861239285,0.0,0.0399373716213898,0.0,0.5216504913381242,0.0,0.0,0.7237840709744195,0.17387369014093662,0.767550216565642,0.0,0.0,0.288051278971084,0.4736670276810954,0.04160737583472053,0.03697221282040933,0.0,0.4647286347508853,0.0,0.0,0.0,0.0,0.0,0.2851970682789202
Hard Dance - Hardcore - Neo Rave,0.0,0.0,0.0,0.14911262919417212,0.0,0.0,0.0,0.0,0.28311141380931554,0.0,0.0,0.14180329048158108,0.4576226420027528,0.0,0.0,0.0,0.4496905974568516,0.929866382960486,0.0,0.0,0.0,0.7154677083115193,0.05122172032834871,0.0,0.0,0.0,0.0,0.3438291030758285,0.0,0.4392293703727357,0.0,0.49447474361256205,0.09052183452141338,0.2374348695274765,0.0
Hard Techno,0.0,0.0,0.0,0.224163119233655,0.0,0.0,0.0,0.0,0.4322665862017191,0.0,0.0,0.07294469388138677,0.2984281287379893,0.0,0.0,0.0,0.929866382960486,0.5949492305977098,0.0,0.0,0.0,0.7820858219697429,0.2226774350094416,0.0,0.0,0.0,0.0,0.36692702163800095,0.0,0.5194568542756515,0.0,0.6595831368343088,0.26190213703177345,0.0,0.0
House,0.0,0.0,0.03348597305657789,0.0,0.21358622827383053,0.5125383977466953,0.19650160583724022,0.0,0.0,0.8385278928752169,0.0,0.0,0.0,0.3332429847987909,0.0,0.7237840709744195,0.0,0.0,0.12833316909552495,0.5834186185888257,0.8966133972283744,0.0,0.0,0.6667069196098224,0.6429223134015332,0.3266065929189238,0.15815174649194907,0.0,0.7136658625965204,0.0,0.011852629006972988,0.0,0.0,0.0,0.43100241610805773
Indie Dance,0.0,0.20232386067848662,0.04677942558072043,0.0,0.4968088447393463,0.4002565570507428,0.1584822885051747,0.0,0.0,0.7415793034939246,0.33333493702060735,0.0,0.0,0.6771174169318563,0.0,0.17387369014093662,0.0,0.0,0.5834186185888257,0.15664351394900633,0.5254391351725485,0.0,0.0,0.7055437993964042,0.3376724261042958,0.6697553151161417,0.430272779812675,0.021818874448070437,0.7178989068233884,0.0,0.3811876489283552,0.0,0.17446755012767323,0.0,0.09562476419869265
Jackin House,0.0,0.0,0.10297594315769497,0.0,0.3682484713250228,0.6199226906519559,0.24776061027048904,0.0,0.0,0.8685761558544549,0.0,0.0,0.0,0.38305864234602105,0.0,0.767550216565642,0.0,0.0,0.8966133972283744,0.5254391351725485,0.33478034046820515,0.0,0.0,0.7296074008741862,0.5912475745412353,0.22555773854877603,0.0,0.0,0.7269876350621002,0.0,0.0,0.0,0.0,0.0,0.5527718650967989
Mainstage,0.0,0.079566714252544,0.0,0.31115830619829643,0.0,0.0,0.0,0.0,0.7013377318449798,0.0,0.0,0.0,0.3111380229689057,0.0,0.18487736730234272,0.0,0.7154677083115193,0.7820858219697429,0.0,0.0,0.0,0.17223472993409472,0.5150573730484573,0.0,0.0,0.0,0.053831427693612814,0.4455915717358053,0.0,0.7701063604146406,0.0,0.8348466529693146,0.3177979338219434,0.0,0.0
Melodic House & Techno,0.0,0.6761564872603238,0.0,0.5465919716102571,0.0,0.0,0.0,0.0,0.3920380119949642,0.0,0.21101550095106536,0.0,0.0,0.0,0.6454413113764508,0.0,0.05122172032834871,0.2226774350094416,0.0,0.0,0.0,0.5150573730484573,0.1918494470054085,0.0,0.0,0.24848460299440006,0.5224383854861879,0.4443662188333434,0.0,0.532569133647433,0.0,0.6593278066668296,0.4262269825648082,0.0,0.0
Minimal - Deep Tech,0.07244143658831975,0.0,0.0695912765242431,0.0,0.7375000383529133,0.6473848589039248,0.2690382066711197,0.0,0.0,0.8740478675630021,0.14544760706065574,0.0,0.0,0.7275772334266646,0.0,0.288051278971084,0.0,0.0,0.6667069196098224,0.7055437993964042,0.7296074008741862,0.0,0.0,0.3995709089255006,0.24301041695964787,0.3437584235070754,0.0,0.0,0.8983719250411188,0.0,0.3616087775962201,0.0,0.0,0.0,0.6588528721923401
Nu Disco - Disco,0.0,0.22169913354722676,0.2522314211197888,0.0,0.0,0.07981251857856032,0.0,0.21851736423141066,0.15720433614394344,0.5489516070470416,0.27118351904676563,0.0,0.0,0.0,0.0,0.4736670276810954,0.0,0.0,0.6429223134015332,0.3376724261042958,0.5912475745412353,0.0,0.0,0.24301041695964787,0.15188109225925317,0.3043124743517109,0.21130387039177018,0.0,0.17378204774344058,0.0,0.0,0.0,0.0,0.0,0.12411686836230473
