genre1,genre2,co_clustering,centroid_distance,min_distance,overlap_ratio,n_tracks_g1,n_tracks_g2
Ambient - Experimental,Mainstage,0.315708844197174,16.983969517826168,5.836902426208855,1.5368358461741456,97,95
Ambient - Experimental,Melodic House & Techno,0.5513249828043166,17.177320986939595,5.3097140531906515,1.5423940940230336,97,94
Ambient - Experimental,Minimal - Deep Tech,0.0,32.8323962275783,5.781232951666581,1.9237544529035258,97,98
Ambient - Experimental,Nu Disco - Disco,0.0,15.878133640225283,6.526476917844851,1.5662400351163634,97,96
Ambient - Experimental,Organic House,0.0,32.37778405155509,6.632841429827893,1.5665635174370298,97,95
Ambient - Experimental,Progressive House,0.0,25.707631247386633,6.527451344943337,1.5734824272144126,97,92
Ambient - Experimental,Psy-Trance,0.0746191617354341,22.078315602583167,6.791732846677362,1.6545089038569705,97,97
Ambient - Experimental,Tech House,0.0,28.47248261078572,6.194349679464002,1.8266082371122165,97,98
Ambient - Experimental,Techno (Peak Time - Driving),0.0976440256352208,19.100857739569246,5.810997306381932,1.7220469043189708,97,95
Ambient - Experimental,Techno (Raw - Deep - Hypnotic),0.0,41.15226893916186,6.535707231473024,2.50236262951977,97,98
Ambient - Experimental,Trance (Main Floor),0.3733861386790487,18.221401636710382,6.793202090604617,1.60090674269667,97,98
Ambient - Experimental,Trance (Raw - Deep - Hypnotic),0.0433447025336811,26.92816166672196,6.9205720494533125,2.2699400048032734,97,96
Ambient - Experimental,Trap - Future Bass,0.0039865733927464,13.84847987335175,7.041644332569188,1.5895655067189536,97,93
Ambient - Experimental,UK Garage - Bassline,0.0,19.52108606771441,6.0055561846725345,1.7457907240410961,97,96
Bass - Club,Bass House,0.5811732662812928,18.227677960867428,5.008443724887949,1.6894698995999964,97,98
Bass - Club,Breaks - Breakbeat - UK Bass,0.4714939172825011,15.875270340575025,4.954653986554282,1.045767731220265,97,95
Bass - Club,DJ Tools,0.0,24.429811735730798,6.964226220333449,3.049755603337196,97,87
Bass - Club,Dance - Pop,0.0,21.623907993259053,5.144474191489394,1.7609326491715651,97,96
Bass - Club,Deep House,0.4915297571323094,8.623014509274892,4.965501727808111,1.0793230581143896,97,96
Bass - Club,Downtempo,0.1548048051890905,10.209153057910356,6.707641234834987,1.2398254635996198,97,90
Bass - Club,Drum & Bass,0.0,23.667019669704437,7.231959753318719,4.025129839691226,97,93
Bass - Club,Dubstep,0.0,28.289919870745624,4.71650769103127,4.362321155625688,97,96
Bass - Club,Electro (Classic - Detroit - Modern),0.8043972665231167,14.670341719841112,5.601923042146004,1.0272863578057385,97,96
Bass - Club,Electronica,0.0,16.441952958391884,5.068451069171172,1.7190307639075602,97,95
Bass - Club,Funky House,0.0,22.23467517894438,5.64582121065732,1.829201326932441,97,98
Bass - Club,Hard Dance - Hardcore - Neo Rave,0.0,23.023240471385755,5.24407942421775,1.8835740731284216,97,98
Bass - Club,Hard Techno,0.0,24.814263962449377,7.156730775970978,2.1278550777934946,97,96
Bass - Club,House,0.2216714840244582,12.86201637943493,4.825110614257146,1.6914376764529,97,96
Bass - Club,Indie Dance,0.50136853751431,7.987350256488464,4.6882731776920545,1.0503380607692199,97,96
Bass - Club,Jackin House,0.3779891147605439,17.64061973709469,4.546685409678749,1.710643215888115,97,97
Bass - Club,Mainstage,0.0,21.249873006392924,4.965979535093011,1.7250373635055005,97,95
Bass - Club,Melodic House & Techno,0.0,18.325124102056066,4.659493317072212,1.73042064665202,97,94
Bass - Club,Minimal - Deep Tech,0.7393715980101923,10.70692621280649,4.5497164369276595,1.022832602996919,97,98
Bass - Club,Nu Disco - Disco,0.0,18.249728923286536,5.69600193240663,1.1185962810416719,97,96
Bass - Club,Organic House,0.0349976598414036,12.645890867773549,5.8999695027652805,1.2373233427854604,97,95
Bass - Club,Progressive House,0.0,9.64182324231639,5.889090188061358,1.2833258403125047,97,92
Bass - Club,Psy-Trance,0.0,11.761699772675366,5.486697587593511,1.3058040773291844,97,97
Bass - Club,Tech House,0.6371315759326126,8.400457651456248,4.749749723253108,1.685898180301831,97,98
Bass - Club,Techno (Peak Time - Driving),0.0,20.688405263080597,4.2808968851337745,1.7757886682061867,97,95
Bass - Club,Techno (Raw - Deep - Hypnotic),0.4301617452261101,19.901355146812662,5.498649887548573,1.2977710747986668,97,98
Bass - Club,Trance (Main Floor),0.0,22.01425193211424,4.63783620261564,1.3222818357405663,97,98
Bass - Club,Trance (Raw - Deep - Hypnotic),0.0,10.220195544681493,5.647373734171308,1.9923758175356294,97,96
Bass - Club,Trap - Future Bass,0.2299330136921523,23.982950064806396,5.211412212109187,1.8380948615585724,97,93
Bass - Club,UK Garage - Bassline,0.5855432147759243,22.760009987364754,5.503649575561453,1.730496421520421,97,96
Bass House,Breaks - Breakbeat - UK Bass,0.4355264889407136,4.1915425848271015,3.467183962255108,1.1452750724464058,98,95
Bass House,DJ Tools,0.0,23.344041384828202,10.563509982936266,3.992543267253007,98,87
Bass House,Dance - Pop,0.0,5.545612682804196,4.4238261850367,1.1068971543277886,98,96
Bass House,Deep House,0.5458450917576452,11.888463677746074,4.7579457151016005,1.1452703956078336,98,96
Bass House,Downtempo,0.0,14.730980308881493,6.33299571624192,1.4684087684981262,98,90
Bass House,Drum & Bass,0.0577718700622234,9.300573345057856,8.42004779635666,2.469239397370934,98,93
Bass House,Dubstep,0.0,19.32400528889242,6.378884493599214,3.6353943237727555,98,96
Bass House,Electro (Classic - Detroit - Modern),0.3693603285372778,31.063542120325625,5.036964988869199,1.2557219118036147,98,96
Bass House,Electronica,0.0,6.1515272036853235,4.538089605476852,1.197702900124035,98,95
Bass House,Funky House,0.4362097612417043,6.248779412379045,4.2877632224517015,1.1433627795585344,98,98
Bass House,Hard Dance - Hardcore - Neo Rave,0.0,9.206534199343691,6.11248455069767,1.4021842728427354,98,98
Bass House,Hard Techno,0.0,10.989383849037702,7.954536195072496,1.8054713560170847,98,96
Bass House,House,0.5228529448295172,7.3774090697389205,4.689456384277948,1.077677895437319,98,96
Bass House,Indie Dance,0.4289110672550527,19.684693584445878,3.7447884264022466,1.119499972351861,98,96
Bass House,Jackin House,0.621860986042472,4.240403688495451,4.492302619424319,1.131929510352875,98,97
Bass House,Mainstage,0.0,5.886574828079936,3.962396494870844,1.1578248031061207,98,95
Bass House,Melodic House & Techno,0.0,5.4932801332788035,3.9518964403849597,1.1630075555834025,98,94
Bass House,Minimal - Deep Tech,0.6575656753014285,25.31721868509679,4.730095832095297,1.0944871089029906,98,98
Bass House,Nu Disco - Disco,0.1462380096318232,6.090496927029144,3.8529744145733402,1.1352425225724576,98,96
Bass House,Organic House,0.0,25.893566677256576,5.297756248934062,1.2938791892660129,98,95
Bass House,Progressive House,0.0,17.5793312108108,5.141293914015476,1.3961694345965723,98,92
Bass House,Psy-Trance,0.0,11.891920468135368,5.622821774896159,1.4272464051829454,98,97
Bass House,Tech House,0.767862309435384,19.770253804918767,3.8915091190275564,1.039932350269673,98,98
Bass House,Techno (Peak Time - Driving),0.0,5.4567934954755595,4.0012712692759775,1.2011694376209259,98,95
Bass House,Techno (Raw - Deep - Hypnotic),0.0489588236225342,35.78578778706293,5.325552247725843,1.4437466072552085,98,98
Bass House,Trance (Main Floor),0.0,8.591906053381155,4.52033197688983,1.418583819620636,98,98
Bass House,Trance (Raw - Deep - Hypnotic),0.0,19.282462712211093,4.529860208864128,1.5126332083596423,98,96
Bass House,Trap - Future Bass,0.2847402741871239,12.499892992782177,6.469702854113932,1.4710488994597324,98,93
Bass House,UK Garage - Bassline,0.6670286135149471,6.815518741729572,4.930886563681571,1.1292644577516393,98,96
Breaks - Breakbeat - UK Bass,DJ Tools,0.0,22.613314606487123,8.923778917693204,3.576567314203668,95,87
Breaks - Breakbeat - UK Bass,Dance - Pop,0.0,7.446008626744977,4.8485248173859485,1.285713673211151,95,96
Breaks - Breakbeat - UK Bass,Deep House,0.0330293197025191,10.194073749225844,5.283104280247844,1.1616500553742573,95,96
Breaks - Breakbeat - UK Bass,Downtempo,0.0,13.287315702872757,6.640762262236015,1.4766024653724361,95,90
Breaks - Breakbeat - UK Bass,Drum & Bass,0.2392925946512411,10.211433695995,7.395233569036933,2.6127582987477327,95,93
Breaks - Breakbeat - UK Bass,Dubstep,0.2091067252496985,19.532409910886024,5.6344391358964945,3.50651175087923,95,96
Breaks - Breakbeat - UK Bass,Electro (Classic - Detroit - Modern),0.5580709874280982,28.549711842475833,4.077674066997202,1.1051798135316673,95,96
Breaks - Breakbeat - UK Bass,Electronica,0.0,5.046099298979231,4.8151648408033685,1.2582712016620083,95,95
Breaks - Breakbeat - UK Bass,Funky House,0.2398867015116649,8.323739655946296,4.92187657327913,1.3429303455703192,95,98
Breaks - Breakbeat - UK Bass,Hard Dance - Hardcore - Neo Rave,0.0,9.853853285365474,6.114636658340778,1.5075717310718564,95,98
Breaks - Breakbeat - UK Bass,Hard Techno,0.0,11.57890930164696,8.688081154160272,1.762986309915558,95,96
Breaks - Breakbeat - UK Bass,House,0.1698991937092941,5.7271835843571735,4.22164873252112,1.22560571086066,95,96
Breaks - Breakbeat - UK Bass,Indie Dance,0.126860456597817,17.52837639718436,5.0814363668641604,1.1457509851503398,95,96
Breaks - Breakbeat - UK Bass,Jackin House,0.2261813673637388,5.562461166209205,4.855677298355713,1.305967500114274,95,97
Breaks - Breakbeat - UK Bass,Mainstage,0.0,6.924902890263185,4.559668721687916,1.2634798245421714,95,95
Breaks - Breakbeat - UK Bass,Melodic House & Techno,0.0,5.39033350902373,4.607936427878218,1.2462009927504005,95,94
Breaks - Breakbeat - UK Bass,Minimal - Deep Tech,0.2505573109206555,23.21291255583153,4.608647000390011,1.1796164640437836,95,98
Breaks - Breakbeat - UK Bass,Nu Disco - Disco,0.0,6.789475778406518,5.369473213290086,1.2180678233104678,95,96
Breaks - Breakbeat - UK Bass,Organic House,0.0,23.735694107105104,4.882623675754293,1.3155765111161106,95,95
Breaks - Breakbeat - UK Bass,Progressive House,0.0,15.42235995297071,4.3311338778570505,1.2755207283971897,95,92
Breaks - Breakbeat - UK Bass,Psy-Trance,0.0,9.774094288163676,5.199016024808159,1.3438604138059898,95,97
Breaks - Breakbeat - UK Bass,Tech House,0.3719636250958968,17.66567874408299,4.883505006531246,1.2242376853887074,95,98
Breaks - Breakbeat - UK Bass,Techno (Peak Time - Driving),0.0,6.646121073202167,4.492191698448803,1.2963037028173552,95,95
Breaks - Breakbeat - UK Bass,Techno (Raw - Deep - Hypnotic),0.0908710690962041,33.34930119840032,4.8407548385157675,1.3662683898455719,95,98
