genre1,genre2,phantom_score,co_clustering,centroid_distance,min_distance,overlap_score,stat_similarity,n_tracks_g1,n_tracks_g2
Bass House,Jackin House,0.544396239080868,0.621860986042472,4.139687737487348,4.619798460789786,-0.13217464703555226,0.21296987053281632,98,97
Bass - Club,Tech House,0.539178844469773,0.6371315759326126,3.9856446860493246,5.264474058499284,-0.13392503774695297,0.061073924926759206,97,98
Jackin House,Nu Disco - Disco,0.5388987526757926,0.6372751649062398,4.080839475805672,4.464035339544827,-0.08168399493738598,0.07205691168690498,97,96
Afro House,Organic House,0.5373093294149746,0.6045879945769663,3.8211035863492837,3.705808452937382,-0.1083769298908539,0.17955964814968234,99,95
Melodic House & Techno,Trance (Main Floor),0.5356333585709881,0.6594417536201798,5.2467562387256255,3.4292002035088682,-0.18795716761938053,0.0914931764732618,94,98
Deep House,Nu Disco - Disco,0.5332775489306726,0.5940167585186865,3.460611116851294,3.902236557185259,-0.08605297175963522,0.13396673470595197,96,96
Afro House,Electronica,0.516008409600324,0.547837058966247,3.1001494564314904,4.944453325592882,-0.2474616995120218,0.13084859222026207,99,95
Organic House,Trance (Raw - Deep - Hypnotic),0.515582481767455,0.5875092106063253,4.031444764510359,5.0241846316894865,-0.25977740073026534,0.08022380996863418,95,96
Indie Dance,Jackin House,0.5127150805391618,0.5630476957279432,4.378203437418071,5.290341921053735,-0.1769364350989293,0.22542077510731176,96,97
Bass House,Deep House,0.5125942646570838,0.5458450917576452,3.664850829236588,4.913980612475178,-0.12623264591528582,0.2013035403966053,98,96
Techno (Peak Time - Driving),Trance (Raw - Deep - Hypnotic),0.511689574292146,0.5768696427439814,3.7625013261913356,4.646241345098675,-0.17870935581933312,0.05271122699483347,95,96
Bass - Club,UK Garage - Bassline,0.5105100263044923,0.5855432147759243,4.319751612117685,5.876985640551548,-0.15840055540303166,0.08237578311073343,97,96
Techno (Raw - Deep - Hypnotic),Trance (Raw - Deep - Hypnotic),0.5098296409568264,0.590361277722558,4.949453196588346,4.2202683366842795,-0.1771774190767601,0.13972765945007934,98,96
Hard Techno,Trance (Main Floor),0.5081954444983057,0.6466696573766076,6.731614657364396,4.730638036063979,-0.34575863914728844,0.055593312995105615,96,98
Tech House,UK Garage - Bassline,0.5064893907882276,0.5484149024093659,3.7588544721849164,4.933864865765698,-0.2474234648314948,0.14240531698546705,98,96
Bass House,House,0.504892482539717,0.5228529448295172,3.043025717664158,4.937565874200438,-0.0813920784821851,0.1345803000289962,98,96
Bass - Club,Bass House,0.5035134441648639,0.5811732662812928,4.188780249429382,5.229428967983989,-0.1335677899164407,0.01492145939412282,97,98
Melodic House & Techno,Techno (Peak Time - Driving),0.5027790493625919,0.5290189950193152,3.7045200338400455,4.240779621126409,-0.1783087839609876,0.19363673165303022,94,95
Dance - Pop,Trance (Main Floor),0.5026505850418155,0.610574840681652,5.780175955595035,3.7075238944216498,-0.16348546131539243,0.07251216111701608,96,98
Breaks - Breakbeat - UK Bass,Electro (Classic - Detroit - Modern),0.5013390881069613,0.5580709874280982,4.493556557643415,4.4771566054742475,-0.10054524666722986,0.1531506207039539,95,96
Psy-Trance,Techno (Raw - Deep - Hypnotic),0.49359318933310714,0.5689998365815032,5.206894398172892,5.132706183129053,-0.256726537047284,0.11814331539727656,97,98
Drum & Bass,Dubstep,0.4922783127137465,0.5830714880866988,6.928370349560972,5.830549587589388,-0.5080711939993263,0.2352527379488636,93,96
Jackin House,UK Garage - Bassline,0.49160158640017415,0.5478049462273027,4.596907138662907,4.790356666545689,-0.17113324115027262,0.12176123279010605,97,96
Afro House,Trance (Raw - Deep - Hypnotic),0.4905510520752202,0.5162934265671242,3.8431692304099485,4.541424101848738,-0.25902839825603574,0.15690958346249867,99,96
Melodic House & Techno,Progressive House,0.48912670864813995,0.531374031731643,4.603215285435189,2.6759927860008625,-0.07934627515603232,0.1800548248261062,94,92
Mainstage,Melodic House & Techno,0.48910029092473306,0.5065683768821756,3.5626793525180576,4.452485115158677,-0.07600083080105668,0.14620870920273005,95,94
Funky House,Nu Disco - Disco,0.48551236473279025,0.5445509112530256,5.148210525259005,4.01398860302414,-0.20213322552241975,0.15193714829459942,98,96
Drum & Bass,Trap - Future Bass,0.4804367767750738,0.5583082344274428,5.8014745813652775,6.244995602372038,-0.49930693808406024,0.11426960680065235,93,93
Deep House,Organic House,0.4783199623902961,0.5211037886028327,4.3838184270418985,3.7948976938329215,-0.15379727929323606,0.09200362982151403,96,95
Trance (Main Floor),Trance (Raw - Deep - Hypnotic),0.47320332637446405,0.5556877352691114,5.703706433749773,4.312436656218603,-0.2037008071559323,0.043217561022354314,98,96
Deep House,Electro (Classic - Detroit - Modern),0.4728573034827109,0.519057125910185,4.838188347685868,5.607449809794184,-0.22897203197210647,0.111477242401499,96,96
Electro (Classic - Detroit - Modern),Techno (Raw - Deep - Hypnotic),0.4703432584991783,0.5456393104392994,5.517567315988469,5.077215000955143,-0.18760893791931332,0.04194330790472901,96,98
140 - Deep Dubstep - Grime,Dubstep,0.46265029283421627,0.569722356830116,6.970483374111408,5.477533662765638,-0.1999259265096709,0.01011592302344571,95,96
Bass - Club,Indie Dance,0.4594618043376704,0.50136853751431,4.5007462996521355,5.061526297484036,-0.09823869544890851,0.018916320548487034,97,96
Deep House,Funky House,0.456472179155904,0.5123796909940126,5.378746829824429,4.445348894322829,-0.19474271921840702,0.052079213418929404,96,98
Afro House,Downtempo,0.4557211071617786,0.5109405807099252,5.667337434082241,5.423305501362123,-0.39717513962657636,0.08769653359484313,99,90
Amapiano,Downtempo,0.44589590481208763,0.5096887016194528,5.926651091328617,5.1934131162211274,-0.31574279282856454,0.026880378559334384,98,90
